GSE,GSM,treatment,group,organism,biological_system,dose,dose_unit,time_point,time_point_unit,slide,array,dye,platform,filenames
E-MTAB-6396,THP1_BAY1,MWCNT (Bayer),BAY_THP1,Homo sapiens,THP-1,10,ug/ml,48,h,1,1_1,Cy5,Agilent_028004,US11263921_257236311282_S01_GE2_1200_Jun14_1_1.txt
E-MTAB-6396,THP1_BAY2,MWCNT (Bayer),BAY_THP1,Homo sapiens,THP-1,10,ug/ml,48,h,2,2_2,Cy3,Agilent_028004,US11263921_257236310655_S01_GE2_1200_Jun14_2_2.txt
E-MTAB-6396,THP1_BAY3,MWCNT (Bayer),BAY_THP1,Homo sapiens,THP-1,10,ug/ml,48,h,7,1_3,Cy5,Agilent_028004,US11263921_257236311289_S01_GE2_1200_Jun14_1_3.txt
E-MTAB-6396,THP1_C1,control,control_THP1,Homo sapiens,THP-1,0,ug/ml,48,h,5,2_4,Cy3,Agilent_028004,US11263921_257236310656_S01_GE2_1200_Jun14_2_4.txt
E-MTAB-6396,THP1_CB1,Carbon black,CB_THP1,Homo sapiens,THP-1,10,ug/ml,48,h,8,1_3,Cy3,Agilent_028004,US11263921_257236311284_S01_GE2_1200_Jun14_1_3.txt
E-MTAB-6396,THP1_CB2,Carbon black,CB_THP1,Homo sapiens,THP-1,10,ug/ml,48,h,3,2_1,Cy5,Agilent_028004,US11263921_257236311283_S01_GE2_1200_Jun14_2_1.txt
E-MTAB-6396,THP1_CB3,Carbon black,CB_THP1,Homo sapiens,THP-1,10,ug/ml,48,h,4,2_1,Cy3,Agilent_028004,US11263921_257236310657_S01_GE2_1200_Jun14_2_1.txt
E-MTAB-6396,THP1_CH1,MWCNT (Cheaptubes),CH_THP1,Homo sapiens,THP-1,10,ug/ml,48,h,5,1_2,Cy5,Agilent_028004,US11263921_257236310656_S01_GE2_1200_Jun14_1_2.txt
E-MTAB-6396,THP1_CH2,MWCNT (Cheaptubes),CH_THP1,Homo sapiens,THP-1,10,ug/ml,48,h,1,1_2,Cy3,Agilent_028004,US11263921_257236311282_S01_GE2_1200_Jun14_1_2.txt
E-MTAB-6396,THP1_CH3,MWCNT (Cheaptubes),CH_THP1,Homo sapiens,THP-1,10,ug/ml,48,h,4,2_2,Cy5,Agilent_028004,US11263921_257236310657_S01_GE2_1200_Jun14_2_2.txt
E-MTAB-6396,THP1_FULL1,Fullerene,FULL_THP1,Homo sapiens,THP-1,10,ug/ml,48,h,6,1_4,Cy3,Agilent_028004,US11263921_257236311290_S01_GE2_1200_Jun14_1_4.txt
