GSE,GSM,treatment,group,organism,biological_system,dose,dose_unit,time_point,time_point_unit,slide,array,dye,platform,filenames
GSE19487,GSM485753,nanoTiO2,nanoTiO2,Mus musculus,liver,40,mg/m3,5,d,251486818812_200907240944,1_1,Cy5,GPL4134,GSM485753_251486818812_200907240944_S01_GE2_105_Jan09_1_1.txt
GSE19487,GSM485754,nanoTiO2,nanoTiO2,Mus musculus,liver,40,mg/m3,5,d,251486818812_200907240944,1_2,Cy5,GPL4134,GSM485754_251486818812_200907240944_S01_GE2_105_Jan09_1_2.txt
GSE19487,GSM485755,control,control,Mus musculus,liver,0,NA,5,d,251486818812_200907240944,1_3,Cy5,GPL4134,GSM485755_251486818812_200907240944_S01_GE2_105_Jan09_1_3.txt
GSE19487,GSM485756,control,control,Mus musculus,liver,0,NA,5,d,251486818812_200907240944,1_4,Cy5,GPL4134,GSM485756_251486818812_200907240944_S01_GE2_105_Jan09_1_4.txt
GSE19487,GSM485757,nanoTiO2,nanoTiO2,Mus musculus,liver,40,mg/m3,5,d,251486818813_200907241013,1_1,Cy5,GPL4134,GSM485757_251486818813_200907241013_S01_GE2_105_Jan09_1_1.txt
GSE19487,GSM485758,nanoTiO2,nanoTiO2,Mus musculus,liver,40,mg/m3,5,d,251486818813_200907241013,1_2,Cy5,GPL4134,GSM485758_251486818813_200907241013_S01_GE2_105_Jan09_1_2.txt
GSE19487,GSM485759,control,control,Mus musculus,liver,0,NA,5,d,251486818813_200907241013,1_3,Cy5,GPL4134,GSM485759_251486818813_200907241013_S01_GE2_105_Jan09_1_3.txt
GSE19487,GSM485760,control,control,Mus musculus,liver,0,NA,5,d,251486818813_200907241013,1_4,Cy5,GPL4134,GSM485760_251486818813_200907241013_S01_GE2_105_Jan09_1_4.txt
GSE19487,GSM485761,nanoTiO2,nanoTiO2,Mus musculus,liver,40,mg/m3,5,d,251486818964_200907240757,1_1,Cy5,GPL4134,GSM485761_251486818964_200907240757_S01_GE2_105_Jan09_1_1.txt
GSE19487,GSM485762,control,control,Mus musculus,liver,0,NA,5,d,251486818964_200907240757,1_3,Cy5,GPL4134,GSM485762_251486818964_200907240757_S01_GE2_105_Jan09_1_3.txt
GSE19487,GSM485763,control,control,Mus musculus,liver,0,NA,5,d,251486818964_200907240757,1_4,Cy5,GPL4134,GSM485763_251486818964_200907240757_S01_GE2_105_Jan09_1_4.txt
GSE19487,GSM485764,nanoTiO2,nanoTiO2,Mus musculus,liver,40,mg/m3,5,d,251486818965_200907240825,1_1,Cy5,GPL4134,GSM485764_251486818965_200907240825_S01_GE2_105_Jan09_1_1.txt
GSE19487,GSM485765,nanoTiO2,nanoTiO2,Mus musculus,liver,40,mg/m3,5,d,251486818965_200907240825,1_2,Cy5,GPL4134,GSM485765_251486818965_200907240825_S01_GE2_105_Jan09_1_2.txt
GSE19487,GSM485766,control,control,Mus musculus,liver,0,NA,5,d,251486818965_200907240825,1_3,Cy5,GPL4134,GSM485766_251486818965_200907240825_S01_GE2_105_Jan09_1_3.txt
GSE19487,GSM485767,control,control,Mus musculus,liver,0,NA,5,d,251486818965_200907240825,1_4,Cy5,GPL4134,GSM485767_251486818965_200907240825_S01_GE2_105_Jan09_1_4.txt
